STANOX_NO,FULL_NAME,CRS_CODE,Route_Description
87904,3BDGS DN TL SDG ENTRY/EXIT,,Sussex
87915,3BDGS DOWN THAMESLINK SDGS,,Sussex
87907,3 BRIDGES DN DEP SIG TD127,,Sussex
87950,3 BRIDGES UP DEP SIG TD165,,Sussex
00005,AACHEN,,High Speed
04309,ABBEYHILL JN,,Scotland
04308,ABBEYHILL TURNBACK SDGS,,Scotland
87591,ABBEY STREET JN,,Kent
88601,ABBEY WOOD,ABW,Kent
88607,ABBEY WOOD (CROSSRAIL),ABX,Private Railway
88608,ABBEY WOOD CROSSRAIL SIDING,,Private Railway
88605,ABBEY WOOD ENGINEERING ROAD,,Kent
45185,ABBOTS RIPTON,,East Coast
67371,ABBOTSWOOD JN,XAY,Central
67373,ABBOTSWOOD JN BA7654 SIG,,Central
02106,ABDN CRG,,Scotland
02073,ABDNGSWRD,,Scotland
78371,ABER,ABE,TfW Cardiff Valleys
79760,ABERAIDEN SOUTH,,Wales
76639,ABERBEEG,,Wales
78128,ABERCWMBOI,,TfW Cardiff Valleys
78204,ABERCYNON,ACY,TfW Cardiff Valleys
78205,ABERCYNON JUNCTION,,TfW Cardiff Valleys
78203,ABERCYNON SIG A187,,TfW Cardiff Valleys
78100,ABERDARE,ABA,TfW Cardiff Valleys
02071,ABERDEEN,ABD,Scotland
02092,ABERDEEN A229 SIGNAL,,Scotland
02091,ABERDEEN A230 SIGNAL,,Scotland
02089,ABERDEEN A55 SIGNAL,,Scotland
02090,ABERDEEN A56 SIGNAL,,Scotland
02075,ABERDEEN CLAYHILLS CAR.M.D,XAC,Scotland
02102,ABERDEEN CRAIGINCHES,,Scotland
02100,ABERDEEN CRAIGINCHES COLAS,,Scotland
02104,ABERDEEN CRAIGINCHES FHH,,Scotland
02101,ABERDEEN CRAIGINCHES T.C.,,Scotland
02105,ABERDEEN CRAIGINCH LAFARGE,,Scotland
02083,ABERDEEN FERRYHILL DN SDGS,,Scotland
02084,ABERDEEN FERRYHILL G.L.,,Scotland
02081,ABERDEEN FERRYHILL GOODS LOOP,,Scotland
02082,ABERDEEN FERRYHILL JN,,Scotland
02088,ABERDEEN FERRYHILL TT,,Scotland
02086,ABERDEEN FERRYHILL UP SDGS,,Scotland
02068,ABERDEEN GUILD ST DRS,,Scotland
02076,ABERDEEN GUILD STREET GBRF,,Scotland
02077,ABERDEEN H.S.,,Scotland
02067,ABERDEEN NORTH SIDING,,Scotland
02074,ABERDEEN RUSSELL J.G.,,Scotland
02072,ABERDEEN SERVICE CO.,,Scotland
02066,ABERDEEN SIG A15,,Scotland
02085,ABERDEEN SIG A222,,Scotland
02087,ABERDEEN SIG A223,,Scotland
02080,ABERDEEN SIG A27,,Scotland
02078,ABERDEEN SIG A75,,Scotland
02079,ABERDEEN SIG A77,,Scotland
02061,ABERDEEN WATERLOO,,Scotland
02070,ABERDEEN WATERLOO COLAS,,Scotland
02062,ABERDEEN WATERLOO GOODS,,Scotland
03295,ABERDOUR,AUR,Scotland
64409,ABERDOVEY,AVY,Wales
78101,ABERDRE,,TfW Cardiff Valleys
64506,ABERERCH,ABH,Wales
76251,ABERGAVENNY,AGV,Wales
76253,ABERGAVENNY SIG 38,,Wales
76249,ABERGAVENNY SIG AY42,,Wales
76250,ABERGAVENNY UP SIDINGS,,Wales
40073,ABERGELE & PENSARN,AGL,Wales
40023,ABER GROUND FRAME,,Wales
64306,ABERMULE L.C.,,Wales
79519,ABERPERGWM,,Wales
78903,ABERTHAW,,Wales
78919,ABERTHAW AW231,,Wales
78902,ABERTHAW CEMENT WKS LAFARG,,Wales
78905,ABERTHAW CEMENT WORKS,,Wales
78911,ABERTHAW DN REC SDG FHH,,Wales
78904,ABERTHAW POWER STATION EWS,,Wales
78910,ABERTHAW PS CRIP SDG FHH,,Wales
78912,ABERTHAW PS KINGMOOR DD1 SB,,Wales
78908,ABERTHAW PWR STN FLINE HVY,,Wales
78906,ABERTHAW REC SDGS,,Wales
78917,ABERTHAW SIG CF3433,,Wales
78918,ABERTHAW SIG CF3440,,Wales
78900,ABERTHAW SIGNAL A39,,Wales
78916,ABERTHAW SIGNAL AB222,,Wales
78920,ABERTHAW TARMAC COLAS,,Wales
78907,ABERTHCSD,,Wales
78909,ABERTHWRP,,Wales
64607,ABERYSTWYTH,AYW,Wales
64609,ABERYSTWYTH RUN ROUND LOOP,,Wales
64608,ABERYSTWYTH SHELL SDGS,,Wales
07972,ABINGTON,,Scotland
07947,ABINGTON C.E.,,Scotland
07948,ABINGTON DOWN SIDING,,Scotland
07971,ABINGTON D.P.L.,,Scotland
07937,ABINGTON MC521 SIGNAL,,Scotland
07938,ABINGTON MC528 SIGNAL,,Scotland
07970,ABINGTON U.P.L.,,Scotland
07939,ABINGTON UP SIDINGS,,Scotland
07299,ABRONHILL TUNNEL,,Scotland
29061,ACCRINGTON,ACR,North West
01081,ACHANALT,AAT,Scotland
01028,ACHEILDH,,Scotland
00752,ACHERES,,High Speed
01079,ACHNASHEEN,ACN,Scotland
01080,ACHNASHEEN C.E.,,Scotland
01078,ACHNASHELLACH,ACH,Scotland
01087,ACHTERNEED,,Scotland
12115,ACKLINGTON,ACK,East Coast
48056,ACLE,ACL,Anglia
66430,ACOCKS GREEN,ACG,Central
37001,ACTON BRIDGE,ACB,North West
72235,ACTON CANAL WHARF,,Anglia
72252,ACTON CENTRAL,ACC,Anglia
73238,ACTON FOSTER YEOMAN,,Western
73239,ACTONGDLP,,Western
35555,ACTON GRANGE JN,,North West
72211,ACTON LANE RECEPTION SDGS,,West Coast South
72209,ACTON LANE REC SDGS GBRF,,West Coast South
73249,ACTON LOCO HOLDING SIDINGS,,Western
73240,ACTON MAIN LINE,AML,Western
73250,ACTON T.C.,XAX,Western
72251,ACTON WELLS JN,,Anglia
72263,ACTON WELLS JN SIG AW149,,Anglia
72264,ACTON WELLS JN SIG AW150,,Anglia
72266,ACTON WELLS SIG AW105,,Anglia
73251,ACTON WEST,,Western
73235,ACTON YARD EWS,,Western
73248,ACTONYDGB,,Western
65614,ADDERLEY PARK,ADD,Central
04090,ADDIEWELL,ADW,Scotland
86011,ADDLESTONE,ASN,Wessex
86010,ADDLESTONE JN,,Wessex
89514,ADISHAM,ADM,Kent
32575,ADLINGTON (CHESHIRE),ADC,North West
30321,ADLINGTON (LANCASHIRE),ADL,North West
32561,ADSWOOD ROAD JN,,North West
23118,ADWICK,AWK,East Coast
23120,ADWICK JN,,East Coast
64505,AFON WEN LC,,Wales
31564,AGECROFT JN,,North West
31561,AGECROFT NORTH JN,,North West
31562,AGECROFT SOUTH JN,,North West
36086,AIGBURTH,AIG,North West
36062,AINSDALE,ANS,North West
36027,AINTREE,AIN,North West
36026,AINTREE SIGNAL 1206,,North West
07476,AIRBLES,AIR,Scotland
07327,AIRDRIE,ADR,Scotland
07326,AIRDRIE C.S.,,Scotland
07325,AIRDRIE SIGNAL YS754,,Scotland
12401,AIRPORT (NEWCASTLE),APN,East Coast
09438,AIS GILL,,North West
84060,AISH EMERGENCY CROSSOVER,,Western
88462,ALBANY PARK,AYP,Kent
65033,ALBRIGHTON,ALB,Central
12214,ALCAN BRANCH JN.,,North & East
45190,ALCONBURY,,East Coast
32581,ALDERLEY EDGE,ALD,North West
32580,ALDERLEY EDGE DOWN SDG,,North West
32582,ALDERLEY EDGE UPO SDG,,North West
74714,ALDERMASTON,AMT,Western
74712,ALDERMASTON PADWORTH SDGS,,Western
74713,ALDERMASTON TIP ISU (CE),,Western
50429,ALDERSBROOK SIGNAL 337/554,,Anglia
50430,ALDERSBROOK UP C.H.S.,XAK,Anglia
87031,ALDERSHOT,AHT,Wessex
87037,ALDERSHOT NORTH JN,,Wessex
87038,ALDERSHOT SIGNAL WK1371,,Wessex
87039,ALDERSHOT SIGNAL WK1378,,Wessex
87013,ALDERSHOT SOUTH JN,,Wessex
87123,ALDGATE EAST LT,ZAE,Private Railway
65532,ALDRIDGE,,Central
87985,ALDRINGTON,AGT,Sussex
24701,ALDWARKE JN,,North & East
24702,ALDWARKE JN S1077,,North & East
24500,ALDWARKE JN SIG S738,,North & East
24703,ALDWARKE LIMIT OF SHUNT,,North & East
24502,ALDWARKE REPAIR SIDINGS,,North & East
24501,ALDWARKE U.E.S.,,North & East
24499,ALDWARKE UES GBRF,,North & East
36190,ALERTNGAS,,North West
36105,ALEXANDDK,,North West
76470,ALEXANDRA DOCK JN. T.C.,,Wales
76474,ALEXANDRA DOCK JN YD LHS,,Wales
76469,ALEXANDRA DOCKS UDG,,Wales
54103,ALEXANDRA PALACE,AAP,East Coast
54104,ALEXANDRA PALACE SIG 476,,East Coast
06525,ALEXANDRA PARADE,AXP,Scotland
06123,ALEXANDRIA,ALX,Scotland
76464,ALEXDOCKJ,,Wales
56127,ALFRETON,ALF,East Midlands
00612,ALIZAY (FRANCE),,High Speed
07492,ALLANTON LOOP,,Scotland
86104,ALLBROOK,XEW,Wessex
66428,ALLEN ROWLAND WORKS,,Central
15702,ALLENS WEST,ALW,North & East
36191,ALLERTON DEPOT,XAL,North West
36195,ALLERTON JN,,North West
36196,ALLERTON SIGNAL AN4,,North West
89314,ALLINGTON A.R.C. REVERSE,,Kent
89312,ALLINGTON A.R.C. SDG.,,Kent
44505,ALLINGTON EAST JN,,East Midlands
89308,ALLINGTON HANSON AGGS SDG,,Kent
44507,ALLINGTON NORTH JN,,East Midlands
44509,ALLINGTON WEST JN,,East Midlands
03375,ALLOA,ALO,Scotland
03373,ALLOA LOOP,,Scotland
64705,ALLSCOTT GF,,Wales
64704,ALLSCOTT SDGS,,Wales
01058,ALNESS,ASS,Scotland
12112,ALNMOUTH,ALM,East Coast
12125,ALNMOUTH UP ENG SDGS,,East Coast
50027,ALRESFORD (ESSEX),ALR,Anglia
87018,ALRESFORD (MID HANTS),ARF,Wessex
66040,ALREWAS L.C.,,East Midlands
42412,ALSAGER,ASG,West Coast South
88606,ALSIKE ROAD JN,,Kent
68077,ALSTONE C. SIDINGS,XCX,Western
68078,ALSTONE LEVEL CROSSING,,Western
50305,ALTHORNE,ALN,Anglia
22075,ALTHORPE,ALP,North & East
70093,ALTHORP PARK (LONG BUCKBY),,West Coast South
01010,ALTNABREAC,ABC,Scotland
01011,ALTNABREAC C.E.,,Scotland
17196,ALTOFTS JN,,North & East
87021,ALTON,AON,Wessex
87023,ALTON MH,,Wessex
37225,ALTRINCHAM,ALT,North West
66527,ALVECHURCH,ALV,Central
02004,ALVES JN,,Scotland
57013,AMBERGATE,AMB,East Midlands
57110,AMBERGATE JN,XAJ,East Midlands
00780,AMBERIEU,,High Speed
87957,AMBERLEY,AMY,Sussex
70361,AMERSHAM,AMR,The Chiltern Railway Co Ltd
70363,AMERSHAM (LT) SDG 34,,The Chiltern Railway Co Ltd
68996,AMINGTON JN SIG NL1294,,West Coast South
68999,AMINGTON JN SIG NL3487,,West Coast South
69002,AMINGTON JN SIG NL3490,,West Coast South
68994,AMINGTON JN SIG NL5485,,West Coast South
68995,AMINGTON JN SIG NL5488,,West Coast South
68997,AMINGTON JN SIG NL9459,,West Coast South
68998,AMINGTON JN SIG NL9462,,West Coast South
69003,AMINGTON JUNCTION,XIM,West Coast South
40021,AMLWCH,AMW,Wales
40022,AMLWCH,,Wales
79064,AMMANFORD,AMF,Wales
62200,AMPTHILL TUNNELS,,East Midlands
00950,AMSTERDAM C.S.,AMS,High Speed
00937,AMSTERDAM SCHIPHOL,,High Speed
44101,ANCASTER,ANC,East Midlands
07253,ANDERSTON,AND,Scotland
86074,ANDOVER,ADV,Wessex
86054,ANDOVER SHUNT SIG BE5202,,Wessex
86073,ANDOVER SIDINGS,,Wessex
86072,ANDOVER SIGNAL 8,,Wessex
87644,ANERLEY,ANZ,Sussex
51924,ANGEL ROAD,,Anglia
88510,ANGERSTEIN JN,,Kent
88533,ANGERSTEIN STOP BOARD,,Kent
88501,ANGERSTEIN WHARF,,Kent
88506,ANGERSTEIN WHARF (BARDON),,Kent
88507,ANGERSTEIN WHARF FLHH,,Kent
88521,ANGERSTEIN WHARF GBRF,,Kent
88505,ANGERSTEIN WHARF - MARCON,,Kent
88534,ANGERSTEIN WHARF NORRIS,,Kent
88502,ANGERSTEIN WHARF (TARMAC),,Kent
65331,ANGLESEA,,Central
65320,ANGLESEA SIDINGS,,Central
87998,ANGMERING,ANG,Sussex
88010,ANGMERING GROUND FRAME,,Sussex
19107,ANLABY ROAD JN,,North & East
09033,ANNAN,ANN,Scotland
09032,ANNAN DRS ISU,,Scotland
05994,ANNAT,,Scotland
08606,ANNBANK,,Scotland
06222,ANNIESLAND,ANL,Scotland
30037,ANSDELL & FAIRHAVEN,AFV,North West
17050,APPERLEY BRIDGE,APY,North & East
17053,APPERLEY JN,,North & East
09426,APPLEBY,APP,North West
22005,APPLEBY LC,,North & East
09427,APPLEBY NORTH EAST SDGS,,North West
89432,APPLEDORE (KENT),APD,Kent
74340,APPLEFORD,APF,Western
74339,APPLEFORD (ADVENZA),,Western
74342,APPLEFORD FHH,,Western
74338,APPLEFORD SDGS (GBRF),,Western
74341,APPLEFORD SIDINGS,,Western
23102,APPLEHURST JN,,East Coast
35050,APPLEY BRIDGE,APB,North West
35051,APPLEY BRIDGE WIMPEY,,North West
71023,APSLEY,APS,West Coast South
03023,ARBROATH,ARB,Scotland
03026,ARBROATH CROSSOVER,,Scotland
03027,ARBROATH UP NORTH SIDING,,Scotland
03028,ARBROATH UP SOUTH SIDING,,Scotland
03024,ARBROATH U.R.S.,,Scotland
03025,ARBRTH DS,,Scotland
89603,ARCHCLFJN,,High Speed
09511,ARCOW QUARRY GBRF,,North West
09512,ARCOW QUARRY GF,,North West
01041,ARDGAY,ARD,Scotland
01042,ARDGAY C.E.,,Scotland
01040,ARDGAY GF,,Scotland
87965,ARDINGLY,,Sussex
87964,ARDINGLY HANSON AGGREGATES,,Sussex
49295,ARDLEIGH,,Anglia
69450,ARDLEY,,Central
06059,ARDLUI,AUI,Scotland
06060,ARDLUI C.E.,,Scotland
06066,ARDLUI GROUNDFRAME,,Scotland
08200,ARDROSSAN E.M.U. SDG,XAT,Scotland
08208,ARDROSSAN HARBOUR,ADS,Scotland
08198,ARDROSSAN SOUTH BEACH,ASB,Scotland
08204,ARDROSSAN TOWN,ADN,Scotland
32045,ARDWICK,ADK,North West
32042,ARDWICK EAST YARD,,North West
32009,ARDWICK JN,,North West
32043,ARDWICK T.M.D,XRK,North West
32052,ARDWICK WEST SDGS (EWS),,North West
07259,ARGYLE STREET,AGS,Scotland
06004,ARISAIG,ARG,Scotland
06003,ARISAIG C.E.,,Scotland
07149,ARKLESTON EAST,,Scotland
07147,ARKLESTON JN,,Scotland
07151,ARKLESTON SIGNAL 6021,,Scotland
07157,ARKLESTON SIGNAL 6023,,Scotland
07158,ARKLESTON SIGNAL 6025,,Scotland
07148,ARKLESTON WEST,,Scotland
23226,ARKSEY D814,,East Coast
23227,ARKSEY D815,,East Coast
23225,ARKSEY LOOP,,East Coast
53201,ARLESEY,ARL,East Coast
66195,ARLEY,,Central
00865,ARLON,,High Speed
07324,ARMADALE STN,ARM,Scotland
09415,ARMATHWAITE,AWT,North West
43335,ARMITAGE,,West Coast South
17136,ARMLEY JUNCTION,,North & East
11403,ARNSIDE,ARN,North West
35533,ARPLEY JN,,North West
35550,ARPLEY SIDINGS,,North West
19019,ARRAM,ARR,North & East
00743,ARRAS,,High Speed
06101,ARROCHAR & TARBET,ART,Scotland
06102,ARROCHAR & TARBET C.E.,,Scotland
06100,ARROCHAR & TARBET GF,,Scotland
06107,ARROCHAR & TARBET URS (COLAS),,Scotland
87958,ARUNDEL,ARU,Sussex
87959,ARUNDEL JN,XXA,Sussex
87895,ARUNDEL SHUNT SIG.50,,Sussex
87103,ASCOT,ACT,Wessex
87096,ASCOT DOWN SIDING,,Wessex
87092,ASCOT SIG F506,,Wessex
87095,ASCOT SIG FH504,,Wessex
87054,ASCOT SIGNAL BEF2237,,Wessex
87284,ASCOT SIGNAL BEF2238,,Wessex
87098,ASCOT SIGNAL F501,,Wessex
74463,ASCOTT-UNDER-WYCHWOOD,AUW,Western
59119,ASFORDBY COLLIERY,,East Midlands
87014,ASH,ASH,Wessex
32518,ASH BRIDGE JUNCTION,,North West
32050,ASHBURYS,ABY,North West
32051,ASHBURYS S.S.,,North West
32046,ASHBURYS TARMAC GBRF,,North West
32048,ASHBURYS WEST JN,,North West
69013,ASHBY JUNCTION,,West Coast South
68071,ASHCHURCH FOR TEWKESBURY,ASC,Western
68073,ASHCHURCH MOD (ARMY),,Western
68070,ASHCHURCH MOD GBRF,,Western
68074,ASHCHURCH SIG G453,,Western
68075,ASHCHURCH WAR DEPT GF,,Western
68072,ASHCHURCH WAR DEPT SDGS,,Western
69508,ASHENDON JN,,Central
89429,ASHFDPDPT,,Kent
06245,ASHFIELD,ASF,Scotland
89438,ASHFORD A JUNCTION,,Kent
59118,ASHFORDBY L.C.,,East Midlands
89422,ASHFORD CRANE DEPOT,,Kent
89427,ASHFORD DOWN YARD,,Kent
89421,ASHFORD DOWN YARD WASHER RD,,Kent
89436,ASHFORD D Y CANTERBURY END,,Kent
89419,ASHFORD EAST BERTHING SDGS,,Kent
89572,ASHFORD EAST JN (CTRL),XIE,High Speed
89430,ASHFORD EAST JUNCTION,,Kent
89428,ASHFORD INTERNATIONAL,#MULTIVALUE,Kent
89425,ASHFORD MAIDSTONE LOOP,,Kent
87117,ASHFORD (MIDDLESEX),AFS,Wessex
89463,ASHFORD SIG 661,,Kent
89434,ASHFORD SIG AD2119,,Kent
89492,ASHFORD TAMPER SIDINGS,,Kent
89418,ASHFORD UP SIDINGS,,Kent
89566,ASHFORD WEST JN (CTRL),XIW,High Speed
89423,ASHFORD WEST JUNCTION,,Kent
89420,ASHFORD YARD T.C.,,Kent
12213,ASHINGTON JN,,North & East
37223,ASHLEY,ASY,North West
87015,ASH SIG GD1331,,Wessex
87683,ASHTEAD,AHD,Wessex
43309,ASHTON BY STONE,,West Coast South
81821,ASHTON GATE,,Western
35202,ASHTON IN MAKERFIELD K.S.,,North West
35203,ASHTON IN MAKERFLD KS GBRF,,North West
81818,ASHTON JN SIGNAL 2192,,Western
81829,ASHTON JN SIGNAL B335,,Western
81823,ASHTON JUNCTION,,Western
81822,ASHTON JUNCTION (CE),,Western
32117,ASHTON MOSS NORTH JN,,North West
32115,ASHTON-UNDER-LYNE,AHN,North West
87763,ASHURST,AHS,Sussex
87770,ASHURST BLACKHAM JN,,Sussex
87765,ASHURST JN,,Sussex
86893,ASHURST NEW FOREST,ANF,Wessex
87041,ASH VALE,AHV,Wessex
87040,ASH VALE SIG WK408,,Wessex
59131,ASHWELL L.C.,,East Midlands
53011,ASHWELL & MORDEN,AWM,East Coast
11225,ASKAM,ASK,North West
11226,ASKAM SIG AM6,,North West
44517,ASLOCKTON,ALK,East Midlands
10021,ASPATRIA,ASP,North West
62051,ASPLEY GUISE,APG,West Coast South
31747,ASTLEY,,North West
29181,ASTLEY BRIDGE JN,,North West
65651,ASTON,AST,Central
65652,ASTON SIGNAL SB4619,,Central
65650,ASTON SOUTH JN,,Central
82307,ATHELNEY CROSSING,,Western
69009,ATHERSTONE,ATH,West Coast South
35139,ATHERTON,ATN,North West
00841,ATH SNCB,,High Speed
01076,ATTADALE,ATT,Scotland
55202,ATTENBOROUGH,ATB,East Midlands
55203,ATTENBOROUGH JN,,East Midlands
25808,ATTERCLIFFE,ATE,North & East
25624,ATTERCLIFFE M&G,,North & East
25623,ATTERCLIFFE SDGS EWS,,North & East
25622,ATTERCLIFFE SDGS FHH,,North & East
25621,ATTERCLIFFE STONE TEML D&C,,North & East
48501,ATTLEBOROUGH,ATL,Anglia
69032,ATTLEBOROUGH JN SIG RN3431,,West Coast South
69031,ATTLEBOROUGH JN SIG RN9533,,West Coast South
69020,ATTLEBOROUGH NORTH JUNCTION,,West Coast South
69023,ATTLEBOROUGH SOUTH JUNCTION,,West Coast South
25625,ATTRCLIFF,,North & East
04120,AUCHENGRAY,,Scotland
08825,AUCHINLECK,AUK,Scotland
03152,AUCHTERARDER,,Scotland
03151,AUCHTERARDER SB,,Scotland
03160,AUCHTERARDER SIG AR6,,Scotland
47321,AUDLEY END,AUD,Anglia
36005,AUGHTON PARK,AUG,North West
09016,AULDGIRTH,,Scotland
00746,AULNOYE,,High Speed
01144,AVIEMORE,AVM,Scotland
01140,AVIEMORE DOWN REFUGE SDG,,Scotland
01137,AVIEMORE SIGNAL HA313,,Scotland
01142,AVIEMORE (SPEYSIDE),,Scotland
01149,AVIEMORE (SPEYSIDE) GBRF,,Scotland
01141,AVIEMORE UP REFUGE SDG CE,,Scotland
00784,AVIGNON,,High Speed
00783,AVIGNON C M T,AVI,High Speed
82073,AVONCLIFF,AVF,Western
81226,AVONMBBHT,,Western
81236,AVONM BHT,,Western
81241,AVONM HYA,,Western
81240,AVONMOUTH,AVN,Western
81250,AVONMOUTH (ADVENZA),,Western
81235,AVONMOUTH BBHT COAL SILOS,,Western
81249,AVONMOUTH BENNETS SDG (FHH),,Western
81228,AVONMOUTH BENNETS SIDING,,Western
81234,AVONMOUTH COAL SILO (COLAS),,Western
81231,AVONMOUTH CTR TERMAL EWS,,Western
81239,AVONMOUTH ENTERPRISE,,Western
81218,AVONMOUTH HANSON AGG (FH),,Western
81244,AVONMOUTH HANSON SDG GBRF,,Western
81233,AVONMOUTH HANSONS SDG (DBS),,Western
81248,AVONMOUTH HENRY BATH SDGS,,Western
81229,AVONMOUTH NO. 5 WHARF EWS,,Western
81237,AVONMOUTH NTL PWR SILO 1,,Western
81238,AVONMOUTH NTL PWR SILO 2,,Western
81242,AVONMOUTH ROCKINGHAM ROAD,,Western
81243,AVONMOUTH SIG SA4,,Western
81227,AVONMOUTH WEST WHARF (FLHH),,Western
81219,AVONMOUTH WEST WHARF GBRF,,Western
81247,AVONM REY,,Western
81245,AVONMTH CHITTENING ESTATE,,Western
76076,AWRE,,Western
83466,AXMINSTER,AXM,Wessex
83457,AXMINSTER EAST JN,,Wessex
83456,AXMINSTER WEST JN,,Wessex
15125,AYCLIFFE,,East Coast
70353,AYLESBURY,AYS,Central
70348,AYLESBURY BRANCH SDG,,Central
70352,AYLESBURY C.C.D.,,Central
70351,AYLESBURY NORTH LOOP,,Central
70354,AYLESBURY (SDGS 1-7),,Central
70349,AYLESBURY SIG ME302,,Central
70350,AYLESBURY SIG ME792,,Central
70356,AYLESBURY VALE JN,,Central
70355,AYLESBURY VALE PARKWAY,AVP,Central
89309,AYLESFORD,AYL,Kent
89515,AYLESHAM,AYH,Kent
69440,AYNHO JN,XAN,Central
69443,AYNHO JN SIG BS501,,Central
69441,AYNHO PARK JN,,Central
69444,AYNHO SIG BS5002,,Central
69442,AYNHO UP GOODS LOOP,,Central
08618,AYR,AYR,Scotland
08661,AYRAUCHIN,,Scotland
08621,AYR C.S.D.,XAR,Scotland
08614,AYR DEPOT,,Scotland
08607,AYR HARBOUR A.B.P.,,Scotland
08608,AYR HARBOUR FHH,,Scotland
08616,AYR SIG 859,,Scotland
08604,AYR SIG. PA335,,Scotland
08617,AYR SIG. PA853,,Scotland
08615,AYR W.R.D.,,Scotland
23490,BABWORTH LOOP,,East Coast
38306,BACHE,BAC,North West
40305,BACHE DOWN GOODS LOOP,,North West
81003,BADMINGTON,,Western
79607,BAGLAN,BAJ,Wales
79612,BAGLAN BAY BP CHEM FLIN HH,,Wales
79611,BAGLAN BAY BP CHEML EWS,,Wales
79613,BAGLAN BAY (COLAS),,Wales
79614,BAGLAN BAY REPAIR POINT (COLAS RAIL),,Wales
87102,BAGSHOT,BAG,Wessex
32123,BAGULEY FOLD JN,,North West
58135,BAGWORTH JCN,,East Midlands
58136,BAGWORTH JN REFUGE SDGS,,East Midlands
17038,BAILDON,BLD,North & East
04637,BAILEYFIELD C.E.,,Scotland
07296,BAILLIESTON,BIO,Scotland
00738,BAISIEUX (SNCF/SNCB BRDR),,High Speed
87963,BALCOMBE,BAB,Sussex
87927,BALCOMBE TUNNEL JN,,Sussex
41124,BALDERTON TUNNEL & LC,,North West
85530,BALDHU,,Western
85531,BALDHU SIG R31,,Western
53015,BALDOCK,BDK,East Coast
53014,BALDOCK SIGNAL K242,,East Coast
87222,BALHAM,BAL,Sussex
87225,BALHAM JN,,Sussex
03104,BALLINLUIG,,Scotland
06121,BALLOCH,BHC,Scotland
03040,BALMOSSIE,BSI,Scotland
23175,BALNE,,East Coast
23177,BALNE SIG D864,,East Coast
23176,BALNE SIG Y863,,East Coast
30165,BALSHAW LANE,,North West
30133,BAMBER BRIDGE,BMB,North West
30131,BAMBER BRIDGE ISU (CE),,North West
30132,BAMBER BRIDGE WHITTLE INT.,,North West
34011,BAMFORD,BAM,North West
35155,BAMFURLONG JN,,North West
06013,BANAVIE,BNV,Scotland
69424,BANBURY,BAN,Central
69433,BANBURY CATTLE RD SIDINGS,,Central
69410,BANBURY DEPOT,,Central
69416,BANBURY DEPOT JN,,Central
69417,BANBURY DEPOT RECEPTION,,Central
69435,BANBURY DOWN GOOD LOOP,,Central
69423,BANBURY DOWN GOODS LOOP,,Central
69422,BANBURY JN.,,Central
70137,BANBURY LANE L.C.,,West Coast South
69419,BANBURY NORTH JN,,Central
69425,BANBURY NORTH S.B.,,Central
69428,BANBURY RESERVOIR TARMAC,,Central
69434,BANBURY SIG 9,,Central
69430,BANBURY SIG BS32,,Central
69432,BANBURY SIGNAL 12,,Central
69431,BANBURY SIGNAL 21,,Central
69436,BANBURY SIGNAL OL7134,,Central
69437,BANBURY SIGNAL OL7143,,Central
69427,BANBURY SOUTH SB,,Central
69426,BANBURY TAMPER SIDING,,Central
69421,BANBURY UP GOODS LOOP,,Central
69420,BANBURY UP SIDINGS,,Central
40034,BANGOR FD,,Wales
40036,BANGOR (GWYNEDD),BNG,Wales
40040,BANGOR SIDING,,Wales
40033,BANGOR SIG BR32,,Wales
40032,BANGOR SIG.BR37,,Wales
40035,BANGOR TUNNEL CEMENT,,Wales
36075,BANK HALL,BAH,North West
08829,BANK JN,,Scotland
87677,BANSTEAD,BAD,Sussex
08411,BARASSIE,BSS,Scotland
08409,BARASSIE C.E.,,Scotland
08413,BARASSIE JN,,Scotland
08410,BARASSIE JN D.P.L.,,Scotland
08414,BARASSIE JN SIGNAL 275,,Scotland
08412,BARASSIE JN U.G.L.,,Scotland
08406,BARASSIES FLHH SDGS 3&4,,Scotland
08408,BARASSIE YARD FHH,,Scotland
08407,BARASSIE YARD GBRF,,Scotland
63635,BARBICAN,ZBB,East Midlands
00215,BARCELONA EL MORROT,,High Speed
58110,BARDNHILQ,,East Midlands
58116,BARDON GBRF,,East Midlands
58109,BARDON HILL,,East Midlands
58113,BARDON HILL B.R. SDGS,,East Midlands
58112,BARDON HILL GBRF,,East Midlands
58115,BARDON HILL GROUND FRAME,,East Midlands
58111,BARDON HILL QUARRY,,East Midlands
58114,BARDON HILL QUARRY FHH,,East Midlands
13311,BARDON MILL,BLL,North & East
11711,BARE LANE,BAR,North West
07297,BARGEDDIE,BGI,Scotland
78351,BARGOED,BGD,TfW Cardiff Valleys
78352,BARGOED SIDINGS,,TfW Cardiff Valleys
78350,BARGOED SINGLE LINE JN,,TfW Cardiff Valleys
49018,BARHAM,,Anglia
49019,BARHAM FHH,,Anglia
49017,BARHAM GROUND SIG C01379,,Anglia
00354,BARI,,High Speed
51531,BARKING,BKG,Anglia
51513,BARKING EUROHUB (DBS),,Anglia
51518,BARKING FREIGHT DEPOT,,Anglia
51534,BARKING JN,,Anglia
51532,BARKING L.T.,ZKB,Anglia
51533,BARKING RIVERSIDE,BGV,Anglia
51536,BARKING RIVERSIDE DOWN JN,,Anglia
51537,BARKING RIVERSIDE UP JN,,Anglia
51530,BARKING STATION JN,,Anglia
